complaint_id,precinct,borough,offense_level,offense_type,occurred_at,source
316929411,84,BROOKLYN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-11-26T23:00:00,SOCRATA_qgea-i56i
316932826,84,BROOKLYN,FELONY,GRAND LARCENY,2025-12-02T21:20:00,SOCRATA_qgea-i56i
316945891,84,BROOKLYN,VIOLATION,ADMINISTRATIVE CODE,2025-12-03T07:07:00,SOCRATA_qgea-i56i
316950125,84,BROOKLYN,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,2025-12-03T09:23:00,SOCRATA_qgea-i56i
316953226,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-26T11:30:00,SOCRATA_qgea-i56i
316955185,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-26T15:45:00,SOCRATA_qgea-i56i
316955186,84,BROOKLYN,MISDEMEANOR,OTHER OFFENSES RELATED TO THEFT,2025-12-03T11:52:00,SOCRATA_qgea-i56i
316957651,84,BROOKLYN,MISDEMEANOR,OTHER OFFENSES RELATED TO THEFT,2025-12-03T12:04:00,SOCRATA_qgea-i56i
316957652,84,BROOKLYN,MISDEMEANOR,OTHER OFFENSES RELATED TO THEFT,2025-12-03T11:25:00,SOCRATA_qgea-i56i
316960592,84,BROOKLYN,VIOLATION,HARRASSMENT 2,2025-12-01T09:50:00,SOCRATA_qgea-i56i
316960593,84,BROOKLYN,FELONY,ROBBERY,2025-12-03T11:30:00,SOCRATA_qgea-i56i
316963742,84,BROOKLYN,VIOLATION,HARRASSMENT 2,2025-12-01T22:20:00,SOCRATA_qgea-i56i
316963743,84,BROOKLYN,MISDEMEANOR,OTHER OFFENSES RELATED TO THEFT,2025-12-03T14:10:00,SOCRATA_qgea-i56i
316963744,84,BROOKLYN,VIOLATION,HARRASSMENT 2,2025-11-30T16:00:00,SOCRATA_qgea-i56i
316963745,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-20T19:30:00,SOCRATA_qgea-i56i
316963746,84,BROOKLYN,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &,2025-11-18T03:00:00,SOCRATA_qgea-i56i
316963747,84,BROOKLYN,VIOLATION,HARRASSMENT 2,2025-11-30T21:10:00,SOCRATA_qgea-i56i
316967177,84,BROOKLYN,FELONY,ROBBERY,2025-12-03T12:10:00,SOCRATA_qgea-i56i
316971093,84,BROOKLYN,MISDEMEANOR,OTHER OFFENSES RELATED TO THEFT,2025-12-03T16:44:00,SOCRATA_qgea-i56i
316979731,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-12-03T14:25:00,SOCRATA_qgea-i56i
316979732,84,BROOKLYN,MISDEMEANOR,OTHER OFFENSES RELATED TO THEFT,2025-12-03T18:41:00,SOCRATA_qgea-i56i
316979733,84,BROOKLYN,VIOLATION,HARRASSMENT 2,2025-12-03T13:28:00,SOCRATA_qgea-i56i
316982286,84,BROOKLYN,VIOLATION,HARRASSMENT 2,2025-12-03T17:38:00,SOCRATA_qgea-i56i
316982287,84,BROOKLYN,FELONY,CRIMINAL MISCHIEF & RELATED OF,2025-11-22T11:35:00,SOCRATA_qgea-i56i
316987189,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-23T03:56:00,SOCRATA_qgea-i56i
316987190,84,BROOKLYN,FELONY,DANGEROUS WEAPONS,2025-12-03T20:39:00,SOCRATA_qgea-i56i
316987191,84,BROOKLYN,FELONY,MISCELLANEOUS PENAL LAW,2025-12-03T21:05:00,SOCRATA_qgea-i56i
316987192,84,BROOKLYN,MISDEMEANOR,OTHER OFFENSES RELATED TO THEFT,2025-11-27T21:30:00,SOCRATA_qgea-i56i
316987193,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-22T11:00:00,SOCRATA_qgea-i56i
316994215,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-29T13:21:00,SOCRATA_qgea-i56i
316996223,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-27T07:30:00,SOCRATA_qgea-i56i
317003942,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-28T21:00:00,SOCRATA_qgea-i56i
317007507,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-28T18:50:00,SOCRATA_qgea-i56i
317008554,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-27T22:10:00,SOCRATA_qgea-i56i
317008557,84,BROOKLYN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-11-29T22:10:00,SOCRATA_qgea-i56i
317011029,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-12-01T17:10:00,SOCRATA_qgea-i56i
317011030,84,BROOKLYN,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2025-11-29T22:10:00,SOCRATA_qgea-i56i
317011031,84,BROOKLYN,MISDEMEANOR,PETIT LARCENY,2025-11-30T06:40:00,SOCRATA_qgea-i56i
